商品名稱或組群	類別	組群代碼	修正事項	公告期數
工業用谷氨酸	01	010101	新增	42卷01期
木醇蒸餾劑	01	010101	新增	42卷01期
氯化銨溶液	01	010101	新增	41卷13期
木醋酸（焦木酸）	01	010101	修正為「焦木酸（木醋）」	41卷13期
硫化碳	01	010101	修正為「二硫化碳」	41卷13期
試紙(醫療用及獸醫用除外)	01	010104	新增	41卷13期
漆以外的水泥防水用化學品	01	010105	新增	41卷13期
化學用硝酸鉍	01	010101	修正為「化學用亞硝酸鉍」	41卷01期
尖晶石（化學劑）	01	010101	修正為「尖晶石（氧化物礦物）」	41卷01期
有機物漂白用化學品	01	010101	刪除	41卷01期
海水（工業用）	01	010101	修正為「工業用海水」	41卷01期
硫酸銅	01	010101	新增	41卷01期
鈉鹽（化合物）	01	010101	新增	41卷01期
橄欖石(化學劑)	01	010101	修正為「橄欖石（矽酸鹽礦物）」	41卷01期
葡萄酒發酵用化學品	01	010103	刪除	41卷01期
潤滑油化學添加劑	01	0103	新增	40卷13期
膠捲	01	0105	新增	40卷13期
工業用穀蛋白黏膠質	01	010101	新增	39卷13期
工業用鉻蛋白	01	010101	修正為「工業用酪蛋白」	39卷13期
苯系的酸類	01	010101	修正為「苯系酸類」	39卷13期
漂白用潤濕（加濕）劑	01	010101	刪除	39卷13期
銷	01	010101	刪除	39卷13期
食品化學添加劑	01	010103	刪除	39卷13期
漆以及油以外的水泥保存劑	01	010105	修正為「漆及油以外的水泥保存劑」	39卷13期
果實的促進熟成用荷爾蒙	01	0102	修正為「果實促進熟成用荷爾蒙」	39卷13期
工業用牛奶發酵劑	01	010101	新增	39卷08期
蛋白（動物性或植物性原料）	01	010101	新增	39卷08期
果膠	01	010101	修正為「工業用果膠」	39卷08期
工業用藻酸鹽	01	010101	新增	39卷08期
工業用乳糖	01	010101	新增	39卷08期
乳糖（原料）	01	010101	新增	39卷08期
非醫療用酒石	01	010101	修正為「化學用酒石」	39卷08期
工業用酒石	01	010101	新增	39卷08期
非醫療及獸醫用生物組織培養物	01	010101	新增	39卷08期
非醫療及獸醫用幹細胞	01	010101	新增	39卷08期
食品工業用牛奶發酵劑	01	010103	新增	39卷08期
食品工業用酵素製劑	01	010103	新增	39卷08期
食品工業用酵素	01	010103	新增	39卷08期
食品工業用葡萄糖	01	010103	新增	39卷08期
食品工業用卵磷脂	01	010103	新增	39卷08期
食品工業用果膠	01	010103	新增	39卷08期
食品工業用酒石	01	010103	新增	39卷08期
食品工業用穀蛋白黏膠質	01	010103	新增	39卷08期
食品工業用乳糖	01	010103	新增	39卷08期
食品工業用藻酸鹽	01	010103	新增	39卷08期
食品工業用酪蛋白	01	010103	新增	39卷08期
食品工業用蛋白質	01	010103	新增	39卷08期
農業生產用種子基因	01	0102	新增	39卷08期
魚粉肥料	01	0104	新增	39卷08期
未曝光電影用底片	01	0105	修正為「未曝光感光性電影用底片」	39卷08期
照片用果膠	01	0105	新增	39卷08期
靴鞋黏著劑	01	0111	刪除	39卷08期
靴用黏著劑	01	0111	修正為「鞋用黏著劑」	39卷08期
土壤安定劑	01	010101	刪除，移至「010105」	38卷07期
土壤安定劑	01	010105	新增	38卷07期
油漆工業用抗浮劑及抗沈劑	01	010101	修正為「油漆工業用抗浮劑」、「油漆工業用抗沈劑」	38卷05期
防止顏料沈降與厚膜垂流之沈降防止劑	01	010101	刪除	38卷05期
除去電路板及電子零件光阻液及熔接劑之化學溶劑	01	010101	修正為「去除電路板光阻液用化學溶劑」、「去除電子零件光阻液用化學溶劑」、「去除電路板熔接劑用化學溶劑」、「去除電子零件熔接劑用化學溶劑」	38卷05期
乾皮劑及皮毛脫灰劑	01	010101	修正為「乾皮劑」、「皮毛脫灰劑」	38卷05期
煞車及電氣零件清洗劑	01	010101	修正為「煞車零件清洗劑」、「電氣零件清洗劑」	38卷05期
增加鏡片透光率及絕緣率之化學劑	01	010101	修正為「增加鏡片透光率之化學劑」、「增加鏡片絕緣率之化學劑」	38卷05期
瓷及玻璃的著色用化學品	01	010101	修正為「瓷著色用化學品」、「玻璃著色用化學品」	38卷05期
紡織工業用纖維用消泡劑	01	010102	修正為「紡織工業用纖維消泡劑」	38卷05期
紡織用的增豔用化學品	01	010102	修正為「紡織工業用增豔化學品」	38卷05期
啤酒用清澄及保存劑	01	010103	修正為「啤酒用清澄劑」、「啤酒用保存劑」	38卷05期
除油漆和油外的瓷磚瓦片保存劑	01	010105	修正為「除油漆和油外的瓷磚保存劑」、「除油漆和油外的瓦片保存劑」	38卷05期
除油漆和油外瓷磚瓦片保存劑	01	010105	刪除	38卷05期
燒結用陶瓷化合物（細粒及粉末）	01	010106	修正為「燒結用陶瓷化合物」	38卷05期
未加工人造樹脂	01	0110	修正備註：一、「未加工人造樹脂」組群所有商品需檢索0206「未加工天然樹脂」組群、1710「天然橡膠、合成橡膠、半加工塑膠、半加工樹脂纖維」組群所有商品	38卷05期
工業用氨（揮發生鹼）	01	010101	修正為「工業用氨（揮發性鹼）」	37卷10期
相紙、感光紙、晒圖紙、膠捲、底片（未曝光軟片）、攝影用化學品	01	0105	組群名稱修正為「相紙、感光紙、晒圖紙、膠捲、未曝光底片、照相用化學品」。修正備註一：「相紙、感光紙、晒圖紙、膠捲、未曝光底片、照相用化學品」組群所有商品需檢索091903「照相機、攝錄放影機、幻燈機、電影機」小類組所有商品	37卷09期
食品工業用乾燥助劑	01	010101	刪除	37卷08期
照片用化學品	01	0105	修正為「照相用化學品」	37卷08期
工業用化學品、科學用化學品	01	010101	修正備註二：「研磨用輔助液」商品需檢索0310「研磨用製劑」組群所有商品。修正備註三：「過濾用材料（化學劑）」、「過濾用材料（植物性物質）」、「過濾用材料（礦物性物質）」、「過濾用顆粒狀陶瓷材料」、「過濾用碳」、「活性碳過濾材料」、「離子交換體（化學品）」商品需檢索0110「未加工人造樹脂」組群中之「未加工樹脂之過濾材料」、「過濾用材料（未加工樹脂）」商品	36卷23期
乾冰	01	010101	刪除	36卷23期
工業用碳粉	01	010101	刪除	36卷23期
乾精	01	010101	刪除	36卷23期
解媒劑	01	010101	刪除	36卷23期
傳熱媒	01	010101	刪除	36卷23期
交通工具引擎冷卻劑	01	010101	新增	36卷23期
助銲劑	01	010101	修正為「助焊劑」	36卷23期
焊藥	01	010101	刪除	36卷23期
銲接用軟化劑	01	010101	刪除	36卷23期
銅焊劑	01	010101	新增	36卷23期
鑄模劑	01	010101	刪除	36卷23期
皮膜劑	01	010101	刪除	36卷23期
除渣劑	01	010101	刪除	36卷23期
脫硫劑	01	010101	刪除	36卷23期
增黏劑	01	010101	刪除	36卷23期
螢光劑	01	010101	刪除	36卷23期
滲透劑	01	010101	刪除	36卷23期
澄清劑	01	010101	刪除	36卷23期
平光劑	01	010101	刪除	36卷23期
褪光劑	01	010101	刪除	36卷23期
電泳劑	01	010101	刪除	36卷23期
層析劑	01	010101	刪除	36卷23期
硬膏劑	01	010101	刪除	36卷23期
懸浮劑	01	010101	刪除	36卷23期
懸浮安定劑	01	010101	刪除	36卷23期
濃度安定劑	01	010101	刪除	36卷23期
可塑劑	01	010101	刪除	36卷23期
電池酸	01	010101	刪除	36卷23期
電極糊	01	010101	刪除	36卷23期
製造石油化學物之防污劑	01	010101	刪除	36卷23期
除樹脂劑	01	010101	刪除	36卷23期
除焦油劑	01	010101	刪除	36卷23期
電鍍藥劑	01	010101	刪除	36卷23期
平滑劑	01	010101	刪除	36卷23期
電鍍用添加劑	01	010101	刪除	36卷23期
酸洗藥劑	01	010101	刪除	36卷23期
焊接溶劑	01	010101	刪除	36卷23期
水質淨化劑	01	010101	刪除	36卷23期
電氣接點劑	01	010101	刪除	36卷23期
毛筆保軟劑	01	010101	刪除	36卷23期
酸蝕抑制劑	01	010101	刪除	36卷23期
薰氣抑制劑	01	010101	刪除	36卷23期
蒸散抑制劑	01	010101	刪除	36卷23期
聚合啟發劑	01	010101	刪除	36卷23期
黏度調節劑	01	010101	刪除	36卷23期
黑化處理劑	01	010101	刪除	36卷23期
油水分離劑	01	010101	刪除	36卷23期
快乾揮發劑	01	010101	刪除	36卷23期
分散解膠劑	01	010101	刪除	36卷23期
聚合凝集劑	01	010101	刪除	36卷23期
漂白蒸餾劑	01	010101	刪除	36卷23期
凝凍劑	01	010101	刪除	36卷23期
濃化劑	01	010101	刪除	36卷23期
結晶促進劑	01	010101	刪除	36卷23期
還原造渣劑	01	010101	刪除	36卷23期
礦砂懸浮劑	01	010101	刪除	36卷23期
熔鐵劑	01	010101	刪除	36卷23期
探傷化學劑	01	010101	刪除	36卷23期
橡膠溶解劑	01	010101	刪除	36卷23期
塑膠加硫促進劑	01	010101	刪除	36卷23期
膠料均勻助劑	01	010101	刪除	36卷23期
平坦劑	01	010101	刪除	36卷23期
塑膠加工用滑劑	01	010101	刪除	36卷23期
氣溶膠推進劑	01	010101	刪除	36卷23期
親油性膠凝劑	01	010101	刪除	36卷23期
膠凝性改良劑	01	010101	刪除	36卷23期
助銲劑去除劑	01	010101	刪除	36卷23期
銲接用回火劑	01	010101	刪除	36卷23期
助銲用銲接襯帶	01	010101	刪除	36卷23期
防身噴霧器填充用化學劑	01	010101	刪除	36卷23期
鍍鎳光澤劑	01	010101	刪除	36卷23期
藥品工業用形成粒錠用粒化劑	01	010101	刪除	36卷23期
製藥用糖衣劑	01	010101	刪除	36卷23期
鍋爐雜質去除劑	01	010101	刪除	36卷23期
界面活性劑之活性調節劑	01	010101	刪除	36卷23期
繪畫用防褪色劑	01	010101	刪除	36卷23期
使用於半導體工業之浸蝕劑	01	010101	刪除	36卷23期
積體電路去光阻劑後之清潔劑	01	010101	刪除	36卷23期
皮革工業用皮革處理	01	010101	刪除	36卷23期
皮革工業用完成輔助	01	010101	刪除	36卷23期
皮革浸泡劑	01	010101	刪除	36卷23期
水溶性聚合助劑	01	010101	刪除	36卷23期
絮凝劑	01	010101	刪除	36卷23期
防止結殼劑	01	010101	刪除	36卷23期
減少表面張力之化學劑	01	010101	刪除	36卷23期
增加平滑劑之化學劑	01	010101	刪除	36卷23期
	01	010101	刪除	36卷23期
鹼片	01	010101	刪除	36卷23期
鹼液	01	010101	刪除	36卷23期
醚	01	010101	刪除	36卷23期
甲酯	01	010101	刪除	36卷23期
甲酮	01	010101	刪除	36卷23期
甲胺	01	010101	刪除	36卷23期
甲醛	01	010101	刪除	36卷23期
乙苯	01	010101	刪除	36卷23期
乙醛	01	010101	刪除	36卷23期
乙	01	010101	刪除	36卷23期
乙胺	01	010101	刪除	36卷23期
乙烯	01	010101	刪除	36卷23期
丙酸	01	010101	刪除	36卷23期
丙	01	010101	刪除	36卷23期
丙醛	01	010101	刪除	36卷23期
丙醇	01	010101	刪除	36卷23期
辛醇	01	010101	刪除	36卷23期
複鹽	01	010101	刪除	36卷23期
鈉鹽	01	010101	刪除	36卷23期
糊精	01	010101	刪除	36卷23期
甘油	01	010101	刪除	36卷23期
硝酸納	01	010101	刪除	36卷23期
碳酸鋁	01	010101	刪除	36卷23期
碳酸銅	01	010101	刪除	36卷23期
碳酸鎳	01	010101	刪除	36卷23期
碳酸錫	01	010101	刪除	36卷23期
碳酸鈷	01	010101	刪除	36卷23期
碳酸鍶	01	010101	刪除	36卷23期
碳酸鈉	01	010101	刪除	36卷23期
磷酸鹽	01	010101	刪除	36卷23期
磷酸二鉀	01	010101	刪除	36卷23期
磷酸三鉀	01	010101	刪除	36卷23期
磷酸二鈉	01	010101	刪除	36卷23期
磷酸三鈉	01	010101	刪除	36卷23期
磷酸二銨	01	010101	刪除	36卷23期
磷酸三銨	01	010101	刪除	36卷23期
山梨糖醇	01	010101	刪除	36卷23期
甘露糖醇	01	010101	刪除	36卷23期
丙三醇	01	010101	刪除	36卷23期
葡萄酸	01	010101	刪除	36卷23期
果膠酸	01	010101	刪除	36卷23期
核酸	01	010101	刪除	36卷23期
磺胺酸	01	010101	刪除	36卷23期
聚核酸	01	010101	刪除	36卷23期
過氧化異丙苯甲酸	01	010101	刪除	36卷23期
碳化矽	01	010101	刪除	36卷23期
碳化氫	01	010101	刪除	36卷23期
碳化硼	01	010101	刪除	36卷23期
碳化鈦	01	010101	刪除	36卷23期
碳化鋁	01	010101	刪除	36卷23期
氯乙烷	01	010101	刪除	36卷23期
氯化胺	01	010101	刪除	36卷23期
乙二醛	01	010101	刪除	36卷23期
乙酸鈉	01	010101	刪除	36卷23期
鉭酸鋰	01	010101	刪除	36卷23期
鈦白粉	01	010101	刪除	36卷23期
乙二酸胺	01	010101	刪除	36卷23期
二乙二醇	01	010101	刪除	36卷23期
二氧化硫	01	010101	刪除	36卷23期
二氯氟甲烷	01	010101	刪除	36卷23期
二氯乙烷	01	010101	刪除	36卷23期
六氯乙烷	01	010101	刪除	36卷23期
氯化鉀銨	01	010101	刪除	36卷23期
氯代丙烯	01	010101	刪除	36卷23期
醋酸苯酯	01	010101	刪除	36卷23期
脂肪酸酯	01	010101	刪除	36卷23期
亞硫酸鈉	01	010101	刪除	36卷23期
硫酸鎳銨	01	010101	刪除	36卷23期
聚亞酸胺	01	010101	刪除	36卷23期
山梨酸鉀	01	010101	刪除	36卷23期
過磷酸錏	01	010101	刪除	36卷23期
苛性蘇打	01	010101	刪除	36卷23期
二氯二氟甲烷	01	010101	刪除	36卷23期
三氟甲烷	01	010101	刪除	36卷23期
四氟甲烷	01	010101	新增	36卷23期
二氯四氟乙烷	01	010101	刪除	36卷23期
五氯氟乙烷	01	010101	刪除	36卷23期
二氯代丙烷	01	010101	刪除	36卷23期
六氯代乙烷	01	010101	刪除	36卷23期
六甲基四胺	01	010101	刪除	36卷23期
氯乙烯單體	01	010101	刪除	36卷23期
重亞醯酸鈉	01	010101	刪除	36卷23期
水楊酸甲酯	01	010101	刪除	36卷23期
一丙一甲醚	01	010101	刪除	36卷23期
二乙基三胺五醋酸鹽	01	010101	刪除	36卷23期
二苯甲基二異氰酸酯	01	010101	新增	36卷23期
三丙二醇一甲醚	01	010101	刪除	36卷23期
三乙基三胺五醋酸鹽	01	010101	刪除	36卷23期
三油酸甘油酯醯胺	01	010101	刪除	36卷23期
甲基丙烯酸單體	01	010101	刪除	36卷23期
甲基乙基酮	01	010101	刪除	36卷23期
甲苯二異氰酸酯	01	010101	刪除	36卷23期
乙二胺四醋酸鹽	01	010101	刪除	36卷23期
水基纖維素醚	01	010101	刪除	36卷23期
羥丙甲基纖維素醚	01	010101	刪除	36卷23期
醋酸乙烯單體	01	010101	刪除	36卷23期
醋酸乙烯乳液	01	010101	刪除	36卷23期
脂肪酸烷基醇醯胺	01	010101	刪除	36卷23期
羧醯胺	01	010101	刪除	36卷23期
蟻酸納乙二酸胺	01	010101	刪除	36卷23期
醋酸丁酯	01	010101	刪除	36卷23期
電石	01	010101	刪除	36卷23期
二氟化硼	01	010101	刪除	36卷23期
工業用除脂劑	01	010101	刪除	36卷23期
導電糊	01	010101	刪除	36卷23期
重亞硫酸鈉	01	010101	刪除	36卷23期
棕櫚酸	01	010101	刪除	36卷23期
羧甲基纖維素醚	01	010101	刪除	36卷23期
助留劑	01	010101	刪除	36卷23期
助濾劑	01	010101	刪除	36卷23期
胺去除劑	01	010101	刪除	36卷23期
樹脂用發泡劑	01	010101	刪除	36卷23期
廢油處理劑	01	010101	刪除	36卷23期
瀝青去除劑	01	010101	刪除	36卷23期
橡塑膠用改質劑	01	010101	刪除	36卷23期
去油脂劑	01	010101	刪除	36卷23期
四丁二醇	01	010101	刪除	36卷23期
工業用除油垢劑	01	010101	修正為「工業製程用去垢劑」	36卷23期
電子零件脫脂劑	01	010101	刪除	36卷23期
鏍絲鬆動劑	01	010101	刪除	36卷23期
回火劑	01	010101	修正為「金屬回火劑」	36卷23期
除墨劑	01	010101	刪除	36卷23期
藥品製造用載體	01	010101	刪除	36卷23期
氯磺酸	01	010101	刪除	36卷23期
硫磺粉	01	010101	刪除	36卷23期
四氧化銻	01	010101	刪除	36卷23期
氧化亞錫	01	010101	刪除	36卷23期
塑膠橡膠用化學添加劑	01	010101	刪除	36卷23期
石油分解劑	01	010101	刪除	36卷23期
廢棄物處理劑	01	010101	刪除	36卷23期
可供煮食用之非燃料木炭	01	010101	刪除	36卷23期
增鹼劑	01	010101	刪除	36卷23期
光合硝化菌液	01	010101	刪除	36卷23期
人工海水素	01	010101	刪除	36卷23期
螢光測漏劑	01	010101	刪除	36卷23期
冷氣冷媒螢光測漏劑	01	010101	刪除	36卷23期
變速器螢光測漏劑	01	010101	刪除	36卷23期
機械用清潔劑	01	010101	刪除	36卷23期
一水草酸酸氫鉀	01	010101	刪除	36卷23期
二苯硫尿	01	010101	刪除	36卷23期
工業用甘油酯	01	010101	刪除	36卷23期
工業用動物膠	01	010101	刪除	36卷23期
丹寧萃取用木材	01	010101	刪除	36卷23期
鞣料木材	01	010101	修正為「鞣料木」	36卷23期
火棉膠	01	010101	新增	36卷23期
出鋼用合成製劑	01	010101	刪除	36卷23期
去光劑	01	010101	修正為「去光物質」	36卷23期
未加工醋酸纖維	01	010101	刪除	36卷23期
皮革加工用處理劑	01	010101	修正為「皮革加工用軟化劑」	36卷23期
皮面加工用處理劑	01	010101	刪除	36卷23期
皮革處理製劑	01	010101	刪除	36卷23期
次氯酸鹼	01	010101	刪除	36卷23期
吸油用合成物質	01	010101	刪除	36卷23期
研磨用輔助劑	01	010101	刪除	36卷23期
科學用的放射性元素	01	010101	修正為「科學用放射性元素」	36卷23期
核燃料	01	010101	刪除	36卷23期
原子爐用燃料	01	010101	修正為「原子反應爐用燃料」	36卷23期
酒石（醫療用除外）	01	010101	修正為「非醫療用酒石」	36卷23期
酒石英（醫療用除外）	01	010101	刪除	36卷23期
酒石酸	01	010101	刪除	36卷23期
乾冰（二氧化碳）	01	010101	新增	36卷23期
唱盤修復劑	01	010101	修正為「唱片修復劑」	36卷23期
唱盤製作用合成製劑	01	010101	刪除	36卷23期
唱盤製作用混合劑	01	010101	修正為「製唱片用合成劑」	36卷23期
清漆用溶劑	01	010101	新增	36卷23期
焊接用助熔劑	01	010101	刪除	36卷23期
焊接用熔劑	01	010101	刪除	36卷23期
焊錫助熔劑	01	010101	刪除	36卷23期
脫水化合物（脫水劑）	01	010101	刪除	36卷23期
脫膠製劑	01	010101	修正為「脫膠劑」	36卷23期
焦性棓酸	01	010101	修正為「焦棓酸」	36卷23期
防止凝結用化學品	01	010101	修正為「防冷凝用化學品」	36卷23期
過硼酸鹼	01	010101	修正為「過硼酸鈉」	36卷23期
過濾器用碳	01	010101	刪除	36卷23期
電池用鹽類	01	010101	修正為「蓄電池組用鹽」	36卷23期
漆製造用化學劑	01	010101	修正為「製漆用化學劑」	36卷23期
腐蝕劑	01	010101	新增	36卷23期
二草酸鉀	01	010101	刪除	36卷23期
鋁土	01	010101	刪除	36卷23期
霉菌預防用化學劑	01	010101	刪除	36卷23期
墨水製造用培酸鹽	01	010101	刪除	36卷23期
澱粉糊（化學劑）	01	010101	刪除	36卷23期
鋼鐵製造用處理劑	01	010101	刪除	36卷23期
離子交換體（化學劑）	01	010101	刪除	36卷23期
顏料製造用化學劑	01	010101	修正為「製顏料用化學劑」	36卷23期
觸媒	01	010101	刪除	36卷23期
鑄造模型用製劑	01	010101	刪除	36卷23期
纖維工業用潤濕（加濕）劑	01	010101	刪除	36卷23期
纖維用加工處理劑	01	010101	刪除	36卷23期
鹼灰	01	010101	刪除	36卷23期
鹽基	01	010101	刪除	36卷23期
化學用非金屬礦物	01	010101	刪除	36卷23期
纖維加工處理用藥劑	01	010102	刪除	36卷23期
紡織物用抗黴生物處理劑	01	010102	刪除	36卷23期
織布靜電處理劑	01	010102	刪除	36卷23期
紡織工業用非離子去垢劑	01	010102	刪除	36卷23期
染色用潤濕（加濕）劑	01	010102	刪除	36卷23期
葡萄液用清澄劑	01	010103	刪除	36卷23期
測定水份含量之化學試劑	01	010104	刪除	36卷23期
礦物質含量測試劑	01	010104	刪除	36卷23期
水質離子測試劑	01	010104	刪除	36卷23期
石油產品用化學檢驗藥劑	01	010104	修正為「石油產品用化學檢驗劑」	36卷23期
水泥添加用化學劑	01	010105	修正備註：「磁磚填縫劑」、「牆磚黏合劑」、「瓷磚黏合劑」、「磁磚用黏著劑」商品需檢索0111「工業用黏著劑」組群、1717「填縫密封用化學合成製劑」組群所有商品	36卷23期
水泥發泡劑	01	010105	刪除	36卷23期
早強劑	01	010105	刪除	36卷23期
混凝土養護劑	01	010105	刪除	36卷23期
磁磚黏著劑	01	010105	刪除	36卷23期
輕質混凝土用發泡劑	01	010105	刪除	36卷23期
漆及油以外的磚塊保存劑	01	010105	刪除	36卷23期
漆以及油以外的混凝土保存劑	01	010105	刪除	36卷23期
漆以外的水泥防水劑	01	010105	刪除	36卷23期
食用菇防菌劑	01	0102	刪除	36卷23期
農用防腐保存劑	01	0102	刪除	36卷23期
種子加調防護劑	01	0102	刪除	36卷23期
植物活力劑	01	0102	刪除	36卷23期
潤滑油化學添加劑	01	0103	刪除	36卷23期
液壓油化學添加劑	01	0103	刪除	36卷23期
助燃劑	01	0103	刪除	36卷23期
礦物油化學添加劑	01	0103	刪除	36卷23期
燃料油化學添加劑	01	0103	刪除	36卷23期
機油化學添加劑	01	0103	刪除	36卷23期
油精化學添加劑	01	0103	刪除	36卷23期
內燃油化學添加劑	01	0103	刪除	36卷23期
石油化學添加劑	01	0103	刪除	36卷23期
輕瓦斯油之化學添加	01	0103	刪除	36卷23期
原油化學添加劑	01	0103	刪除	36卷23期
輕油之化學添加劑	01	0103	刪除	36卷23期
發動機燃料化學添加劑	01	0103	刪除	36卷23期
馬達油化學添加劑	01	0103	刪除	36卷23期
剎車油化學添加劑	01	0103	刪除	36卷23期
油精製用化學品	01	0103	刪除	36卷23期
動力方向盤用液	01	0103	修正為「動力轉向輔助液」	36卷23期
變速箱油	01	0103	新增	36卷23期
燃燒室除碳劑	01	0103	刪除	36卷23期
汽車燃燒室除碳劑	01	0103	刪除	36卷23期
內燃機用去炭用化學品	01	0103	修正為「發動機用除炭用化學品」	36卷23期
汽車引擎清潔劑	01	0103	刪除	36卷23期
汽車噴油器清潔劑	01	0103	刪除	36卷23期
噴油咀清潔劑	01	0103	刪除	36卷23期
汽車化油器清潔劑	01	0103	刪除	36卷23期
基肥	01	0104	刪除	36卷23期
基肥素	01	0104	刪除	36卷23期
海鳥糞	01	0104	刪除	36卷23期
有機質肥料	01	0104	刪除	36卷23期
天然質有機肥	01	0104	刪除	36卷23期
無機肥料	01	0104	刪除	36卷23期
複合肥料	01	0104	刪除	36卷23期
固體肥料	01	0104	刪除	36卷23期
液體肥料	01	0104	刪除	36卷23期
植物養料	01	0104	刪除	36卷23期
海藻精肥料	01	0104	修正為「海藻肥料」	36卷23期
海草精肥料	01	0104	刪除	36卷23期
硝酸錏鈣肥料	01	0104	刪除	36卷23期
大量元素肥料	01	0104	刪除	36卷23期
次量元素肥料	01	0104	刪除	36卷23期
植物多量要素肥料	01	0104	刪除	36卷23期
綜合微量要素肥料	01	0104	刪除	36卷23期
土壤改良素	01	0104	刪除	36卷23期
腐植酸肥料	01	0104	刪除	36卷23期
土壤改良用化學品	01	0104	新增	36卷23期
土壤改良製劑	01	0104	刪除	36卷23期
含氮石灰肥料	01	0104	新增	36卷23期
膠捲	01	0105	刪除	36卷23期
顯微膠片	01	0105	刪除	36卷23期
碟式軟片	01	0105	刪除	36卷23期
攝影感光板	01	0105	刪除	36卷23期
照片用除渣劑	01	0105	刪除	36卷23期
照片用蝕刻劑	01	0105	刪除	36卷23期
照片用抗蝕劑	01	0105	刪除	36卷23期
未曝光Ｘ光底片	01	0105	刪除	36卷23期
未曝光Ｘ光軟片	01	0105	刪除	36卷23期
未曝光感光性Ｘ光軟片	01	0105	刪除	36卷23期
未曝光電影用底片	01	0105	刪除	36卷23期
照片用自動調色紙	01	0105	刪除	36卷23期
照片用果膠	01	0105	刪除	36卷23期
照片用顯像液	01	0105	刪除	36卷23期
藍圖用布	01	0105	新增	36卷23期
未曝光軟片	01	0105	刪除	36卷23期
造紙用紙漿	01	0108	刪除	36卷23期
未加工人造樹脂	01	0110	修正備註：二、「未加工樹脂之過濾材料」、「過濾用材料（未加工樹脂）」商品需檢索010101「工業用化學品、科學用化學品」小類組中之「過濾用材料（化學劑）」、「過濾用材料（植物性物質）」、「過濾用材料（礦物性物質）」、「過濾用顆粒狀陶瓷材料」、「過濾用碳」、「活性碳過濾材料」、「離子交換體（化學品）」商品	36卷23期
電木粉	01	0110	刪除	36卷23期
合成樹脂	01	0110	刪除	36卷23期
尿素樹脂	01	0110	刪除	36卷23期
醇酸樹脂	01	0110	刪除	36卷23期
多元樹脂	01	0110	刪除	36卷23期
石油樹脂	01	0110	刪除	36卷23期
氟化樹脂	01	0110	刪除	36卷23期
酚甲醛樹脂	01	0110	刪除	36卷23期
壓克力樹脂	01	0110	刪除	36卷23期
多元酯樹脂	01	0110	刪除	36卷23期
聚苯撐硫樹脂	01	0110	刪除	36卷23期
甲基丙烯酸酯	01	0110	刪除	36卷23期
硬化合成樹脂	01	0110	刪除	36卷23期
不飽和聚酯樹脂	01	0110	刪除	36卷23期
聚偏二氯乙烯樹脂	01	0110	刪除	36卷23期
聚醯胺醋酸纖維素	01	0110	刪除	36卷23期
高密度聚乙烯樹脂	01	0110	刪除	36卷23期
低密度聚乙烯樹脂	01	0110	刪除	36卷23期
未經加工之塑膠	01	0110	刪除	36卷23期
碳纖維強化合成樹脂	01	0110	刪除	36卷23期
聚胺基甲酸脂彈性體樹脂	01	0110	刪除	36卷23期
醛樹脂	01	0110	刪除	36卷23期
聚酯樹脂	01	0110	刪除	36卷23期
未加工醋酸纖維素	01	0110	刪除	36卷23期
未加工之塑膠	01	0110	刪除	36卷23期
尿醛樹脂	01	0110	刪除	36卷23期
工業用黏著劑	01	0111	修正備註：「工業用黏著劑」組群所有商品需檢索010105「水泥添加用化學劑」小類組中之「磁磚填縫劑」、「牆磚黏合劑」、「瓷磚黏合劑」、「磁磚用黏著劑」商品及1717「填縫密封用化學合成製劑」組群所有商品	36卷23期
補胎劑	01	0111	刪除	36卷23期
鑄造用黏合劑	01	0111	刪除	36卷23期
輪胎修補劑	01	0111	修正為「修補輪胎合成製劑」	36卷23期
輪胎黏合劑	01	0111	刪除	36卷23期
膠黏劑	01	0111	刪除	36卷23期
廣告黏合劑	01	0111	刪除	36卷23期
工業黏合劑	01	0111	刪除	36卷23期
廣告黏合膠	01	0111	刪除	36卷23期
工業處理用黏著劑	01	0111	刪除	36卷23期
瞬間強力黏合劑	01	0111	刪除	36卷23期
增塑溶膠	01	0111	刪除	36卷23期
澱粉糊黏著劑（文具用及家庭用除外）	01	0111	修正為「非文具及家庭用澱粉糊黏著劑」	36卷23期
非文具及家庭用之樹脂黏著劑	01	0111	新增	36卷23期
導電樹脂黏著劑	01	0111	刪除	36卷23期
陶瓷用化學品	01	010106	刪除備註	36卷22期
相紙、感光紙、晒圖紙、膠捲、底片（未曝光軟片）、攝影用化學品	01	0105	修正備註：二、「相紙」、「照片紙」商品需檢索160101「事務用紙」小類組中之「噴墨印表機用相紙」商品	36卷20期
剎車油、液壓油、省油劑、汽油化學添加劑、重油化學添加劑、潤滑油化學添加劑	01	0103	修正備註：「剎車油、液壓油、省油劑、汽油化學添加劑、重油化學添加劑、潤滑油化學添加劑」組群所有商品需檢索0402「工業用油、潤滑油、機油」組群、0403「氣體燃料、液體燃料」組群所有商品	36卷17期
工業用化學品、科學用化學品	01	010101	刪除備註四：「竹醋液（原料）」、「木醋液（原料）」商品需檢索030104「人體用清潔劑」小類組中之「含竹醋液之香皂」、「含竹醋液之泡澡用沐浴劑」商品及0514「空氣淨化製劑、非個人用除臭劑、非個人用芳香劑」組群中之「由竹醋液製成之非人體用除臭劑」商品	36卷16期
竹醋液（原料）	01	010101	刪除	36卷16期
